Mobile cellular subscriptions (per 100 people),2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Serbia,,,,47.79575565,67.84899567,82.00998036,104.384031,118.6678017,122.1336958,122.0803535,125.392874
Serbia and Montenegro,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,
Seychelles,46.06449506,55.46999008,60.28532941,65.79733998,70.41538443,83.44900405,90.94204178,109.2417726,128.56562,135.9104464,145.7130031
Sierra Leone,0.624905608,1.487066406,2.393520535,,,,14.16500663,17.97535303,20.2115487,34.08585819,35.63159631
Singapore,75.14777857,82.16323675,87.54175793,95.92664509,102.780146,108.586142,129.209094,134.4197329,139.1082457,145.1827199,149.4853538
Slovak Republic,39.71357738,54.05501906,68.00980259,79.00381033,83.84040908,90.24570085,111.7306583,101.4470612,100.8391649,108.4746048,109.3494803
Slovenia,73.9336195,83.72510883,87.20032731,92.52627306,87.87003942,90.66566745,95.82909491,101.8198152,103.7743819,104.5460368,106.5619269
Solomon Islands,0.230110986,0.231192737,0.238553913,0.656571515,1.277125616,1.449275362,2.195411791,5.879805026,9.539709039,27.87337312,49.77157788
Somalia,1.118874491,1.283490437,2.505651811,6.119277695,5.980962119,6.434632267,6.870103405,7.027367506,7.028625916,6.946831979,6.853706228
Somaliland,,,,,,,,,,,
South Africa,23.76536798,29.77698447,36.15592287,44.12549096,71.05665966,82.06341804,86.6049709,91.24205436,93.33587369,100.4770987,126.8331905
South Ossetia,,,,,,,,,,,
Spain,72.74442987,81.06181339,88.53476705,90.38308258,98.38387171,103.8102102,108.5598895,109.9168374,111.9324982,111.9887152,114.2330168
Sri Lanka,3.528534345,4.867765898,7.193668429,11.27531819,16.94226484,26.97875144,39.38132924,54.12993456,78.88773032,83.21838179,87.04729881
Sudan,0.29668392,0.532659744,1.438819883,2.795882758,4.75898144,11.89555131,20.3550956,28.95430467,36.11230146,41.544029,56.25361761
Suriname,18.37648992,22.56941841,34.61832375,43.14749937,46.62283144,63.37725509,74.48993994,127.5770484,146.9454335,169.6414276,178.8753331
Svalbard,,,,,,,,,,,
Swaziland,5.115884076,6.280148175,7.807304698,13.23612238,18.10103819,22.36928286,33.53906904,46.21600147,56.86950344,61.19458103,63.7015615
Sweden,80.86045072,89.2962358,98.49595854,97.8506822,100.8268042,105.6793493,110.4294181,108.4133243,112.1241184,116.052977,118.5711258
Switzerland,73.19368084,79.06716426,84.69869899,85.2406751,92.16758663,99.56894093,109.1372821,117.4761171,122.3241293,125.8319005,130.0623629
Syria,1.215441504,2.358084853,6.775259884,13.02986088,15.95964363,24.70835291,32.26843949,35.8285021,49.97501464,57.80921938,63.1668575
Taiwan,,,,,,,,,,,
Tajikistan,0.026152864,0.209996836,0.751445068,2.112305824,4.10646435,32.95203992,32.29304106,54.89899298,72.2352688,86.36655779,90.64122215
Tanzania,0.789184134,1.69359967,3.528297503,5.139340978,7.633071948,14.04933106,20.09341294,30.77244126,40.13691248,46.79589492,55.53287704
Thailand,11.81554374,15.7349765,33.39159937,41.44489898,46.68253249,60.53116887,78.1368246,90.58003795,95.99190157,103.619585,113.1610259
Timor-Leste,,,2.153708054,2.640797352,3.273266051,4.727645267,7.373417423,11.57694983,31.90245907,53.41729258,53.22698066
Togo,1.928486836,3.269464428,4.711820623,6.288726017,8.018333431,12.80310631,21.05711654,26.82336372,37.06178003,40.68538793,50.4457081
Tokelau,,,,,,,,,,,
